row_id,result
1,"78"
2,"225"
3,"156"
4,"215"
5,"1"
6,"179"
7,"171,267,189"
8,"15,130,13,6,209,51"
9,"76,207"
10,"115,266"
11,"104"
12,"240,185"
13,"125"
14,"81,101"
15,"269,147,160,35,10,125,281,191"
16,"147,160,35,10,125,281,217,191"
17,"112,263,276,157,170,16,215"
18,"128,37,45,91"
19,"1"
20,"103,54"
21,"168,241"
22,"74"
23,"149"
24,"118"
25,"1"
26,"205"
27,"92,17,115,21,243,187"
28,"17,205,145,96,243,62"
29,"234"
30,"205,190,112,110,180,77"
31,"166,221"
32,"206,128,124"
33,"1"
34,"272"
35,"121,217"
36,"72,276,247"
37,"140"
38,"188"
39,"247,42,99,85,5"
40,"49,153,157,158,197,50,235,140"
41,"191,187"
42,"48,179"
43,"207,37,275,123,265,59"
44,"147,61,142,281,169"
45,"89"
46,"286"
47,"1"
48,"169"
49,"1"
50,"1"
51,"1"
52,"1"
53,"258"
54,"132,52"
55,268
56,"272,114"
57,"1"
58,"1"
59,"1"
60,"1"
61,"270,78,94"
62,"77,46"
63,174
64,"198,166"
65,"1"
66,"1"
67,"1"
68,"1"
69,"1"
70,"1"
71,"1"
72,"1"
73,"75,96,271,26,51"
74,"60,141,81,116,273,131,204"
75,"71,44,155,121"
76,"145,78"
77,"1"
78,"1"
79,"1"
80,"1"
81,"1"
82,"1"
83,"1"
84,"1"
85,"1"
86,"1"
87,"1"
88,"1"
89,"1"
90,"1"
91,"1"
92,"1"
93,"1"
94,"1"
95,"1"
96,"1"
97,"1"
98,"1"
99,"1"
100,"1"
